tileset_id	style_id	draft	style_name
probablefutures.40202-hires-p02-west-v4	cmsnfxyp5011i01s9f1a45sfs	true	40202 hi-res -- v4
probablefutures.40202-hires-p08-east-v4	cmsnfxyp5011i01s9f1a45sfs	false	40202 hi-res -- v4
probablefutures.40202-hires-p08-east-v4	cmsnfxyp5011i01s9f1a45sfs	true	40202 hi-res -- v4
probablefutures.40202-hires-p08-west-v4	cmsnfxyp5011i01s9f1a45sfs	false	40202 hi-res -- v4
probablefutures.40202-hires-p08-west-v4	cmsnfxyp5011i01s9f1a45sfs	true	40202 hi-res -- v4
probablefutures.40202-hires-west-v4	cmsnfxyp5011i01s9f1a45sfs	false	40202 hi-res -- v4
probablefutures.40202-hires-west-v4	cmsnfxyp5011i01s9f1a45sfs	true	40202 hi-res -- v4
probablefutures.40202-west-v1	cl59y3a8v000714lgpllqj741	false	Frost nights -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40202-west-v1	cl59y3a8v000714lgpllqj741	true	Frost nights -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40202-west-v2	cle5kmbpx001301ldiwi6k739	false	Frost nights -- v2
probablefutures.40202-west-v2	cle5kmbpx001301ldiwi6k739	true	Frost nights -- v2
probablefutures.40202-west-v3	clhzykaon02ar01qu0iah4r6c	false	Frost nights -- v3
probablefutures.40202-west-v3	clhzykaon02ar01qu0iah4r6c	true	Frost nights -- v3
probablefutures.40203-diff-east-v4	cmt04ti30000101shhved57po	false	40203 diff -- v4
probablefutures.40203-diff-east-v4	cmt04ti30000101shhved57po	true	40203 diff -- v4
probablefutures.40203-diff-p02-east-v4	cmt04ti30000101shhved57po	false	40203 diff -- v4
probablefutures.40203-diff-p02-east-v4	cmt04ti30000101shhved57po	true	40203 diff -- v4
probablefutures.40203-diff-p02-west-v4	cmt04ti30000101shhved57po	false	40203 diff -- v4
probablefutures.40203-diff-p02-west-v4	cmt04ti30000101shhved57po	true	40203 diff -- v4
probablefutures.40203-diff-p08-east-v4	cmt04ti30000101shhved57po	false	40203 diff -- v4
probablefutures.40203-diff-p08-east-v4	cmt04ti30000101shhved57po	true	40203 diff -- v4
probablefutures.40203-diff-p08-west-v4	cmt04ti30000101shhved57po	false	40203 diff -- v4
probablefutures.40203-diff-p08-west-v4	cmt04ti30000101shhved57po	true	40203 diff -- v4
probablefutures.40203-diff-west-v4	cmt04ti30000101shhved57po	false	40203 diff -- v4
